,rating_num_weights,rating_average_weight,playing_time,min_age,min_players,max_players,mechanics,categories,families
Human Interface: Nakamura Tower,3,3.6667,180,12,2,6,"['Action Points', 'Area Movement', 'Campaign / Battle Card Driven', 'Cooperative Game', 'Hand Management', 'Point to Point Movement']","['Science Fiction', 'Wargame']","['Crowdfunding: Kickstarter', 'Theme: Cyberpunk', 'Theme: Hackers']"
Star Explorer,7,2.2857,120,12,1,4,"['Dice Rolling', 'Grid Movement', 'Hexagon Grid', 'Movement Points', 'Role Playing', 'Simulation']","['Adventure', 'Science Fiction', 'Space Exploration']",['Players: Games with Solitaire Rules']
Strange Synergy,38,2.1053,45,12,2,4,"['Dice Rolling', 'Variable Player Powers']","['Comic Book / Strip', 'Fantasy', 'Fighting', 'Science Fiction']",['Theme: Superheroes']
Deadlands: The Battle for Slaughter Gulch,36,2.9167,60,0,2,6,"['Area Movement', 'Dice Rolling', 'Secret Unit Deployment', 'Simultaneous Action Selection', 'Variable Player Powers']","['Adventure', 'American West', 'Fighting', 'Horror', 'Miniatures']","['Admin: Better Description Needed!', 'Components: Gems/Crystals', 'Setting: The Weird West (Pinnacle Entertainment)', 'Versions & Editions: Board Game Versions of Role-Playing Games']"
300: The Board Game,27,1.8889,30,17,2,4,"['Campaign / Battle Card Driven', 'Dice Rolling', 'Simulation']","['Ancient', 'Movies / TV / Radio theme', 'Wargame']","['Ancient: Sparta', 'Country: Greece']"
Tranquility Base,1,2.0,90,10,1,4,"['Campaign / Battle Card Driven', 'Hand Management', 'Set Collection']","['Exploration', 'Racing', 'Space Exploration', 'Transportation']","[""Space: Earth's Moon""]"
The King of All Bards,4,2.25,60,10,3,6,"['Dice Rolling', 'Hand Management', 'Race', 'Simultaneous Action Selection', 'Take That', 'Variable Player Powers']","['Humor', 'Medieval', 'Music']",[]
Drakborgen Legenden,21,2.2381,90,0,2,4,"['Modular Board', 'Role Playing', 'Team-Based Game', 'Tile Placement', 'Variable Player Powers']","['Exploration', 'Fantasy', 'Maze']","['Creatures: Dragons', 'Series: Drakborgen']"
Dicenstein,5,2.8,90,14,2,4,"['Dice Rolling', 'Grid Movement', 'Set Collection', 'Variable Player Powers']","['Dice', 'Horror', 'Humor']",['Crowdfunding: Kickstarter']
Pulp Detective,20,1.55,30,14,1,2,"['Dice Rolling', 'Die Icon Resolution', 'Open Drafting', 'Push Your Luck']","['Card Game', 'Dice', 'Murder/Mystery', 'Print & Play']","['Crowdfunding: Kickstarter', 'Digital Implementations: Tabletopia', 'Players: Games with Solitaire Rules', 'Theme: Pulp', 'Theme: Retro']"
Una Vittoria Impossibile: Le Barricate di Parma del 1922,6,2.0,60,10,1,5,"['Cooperative Game', 'Dice Rolling', 'Hand Management']",['Fighting'],"['Cities: Parma (Italy)', 'Interwar period (Nov. 1918 - Aug. 1939)']"
Lupin the 3rd,13,2.5385,90,14,2,5,"['Hidden Movement', 'Team-Based Game']","['Comic Book / Strip', 'Movies / TV / Radio theme']","['Characters: Arsène Lupin', 'Mechanism: Hidden Movement', 'Theme: Anime / Manga', 'Theme: Burglary and Heists']"
Unlock! Mythic Adventures: Around the world in 80 minutes,1,2.0,95,10,1,6,"['Cooperative Game', 'Elapsed Real Time Ending', 'Solo / Solitaire Game', 'Storytelling']","['Card Game', 'Puzzle']","['Admin: Upcoming Releases', 'Authors: Jules Verne', 'Category: Escape Room Games', 'Components: Digital Hybrid – App/Website Required', 'Series: Unlock! (Space Cowboys)']"
Vem aí a Troika,14,1.9286,45,10,2,4,"['Hand Management', 'Set Collection']","['Bluffing', 'Card Game', 'Humor']",['Theme: Spanish Political Games']
Galactic Destiny,23,3.4348,240,12,3,6,"['Dice Rolling', 'Trading', 'Variable Player Powers', 'Voting']","['Card Game', 'Negotiation', 'Political', 'Science Fiction', 'Territory Building']",['Admin: Better Description Needed!']
Incredible Expeditions: Quest for Atlantis,13,2.6923,120,12,1,5,"['Cooperative Game', 'Deck, Bag, and Pool Building', 'Push Your Luck']","['Card Game', 'Exploration', 'Horror', 'Pirates']","['Crowdfunding: Kickstarter', 'Game: Incredible Expeditions', 'Mythology: Atlantis', 'Theme: Cthulhu Mythos', 'Theme: Steampunk']"
Kung Fu Samurai on Giant Robot Island,26,1.5,30,13,2,6,[],"['Card Game', 'Humor', 'Movies / TV / Radio theme', 'Science Fiction']","['Series: B-Movies (Z-Man)', 'Theme: Retro', 'Theme: Samurai']"
Zombie Cinema,2,2.5,120,12,3,6,"['Cooperative Game', 'Dice Rolling', 'Role Playing', 'Storytelling']","['Horror', 'Zombies']",['Creatures: Zombies']
Seven Swords,2,3.0,60,14,2,2,"['Action Points', 'Dice Rolling', 'Pick-up and Deliver', 'Variable Player Powers']",['Fighting'],"['Country: Japan', 'Crowdfunding: Kickstarter', 'Players: Two-Player Only Games', 'Theme: Samurai']"
Spree!,27,1.3333,60,10,3,8,"['Roll / Spin and Move', 'Set Collection']",[],[]
Adventurer: A Game of Man to Man Brawling in the Far Future,11,2.1818,90,12,2,6,"['Action Queue', 'Dice Rolling', 'Grid Movement', 'Line of Sight', 'Ratio / Combat Results Table', 'Scenario / Mission / Campaign Game', 'Simulation', 'Simultaneous Action Selection', 'Square Grid']","['Science Fiction', 'Wargame']","['Creatures: Aliens / Extraterrestrials', 'Occupation: Adventurer / Explorer', 'Series: Album Games (Yaquinto)']"
An Evening With Bram Stoker's Dracula,3,1.0,0,12,6,12,[],"['Adventure', 'Horror', 'Movies / TV / Radio theme', 'Novel-based']","['Books: Dracula', 'Components: Audio Cassettes', 'Creatures: Vampires']"
Elric,38,2.4737,120,10,1,4,"['Area Movement', 'Dice Rolling', 'Events', 'Movement Points', 'Ratio / Combat Results Table', 'Scenario / Mission / Campaign Game', 'Simulation']","['Adventure', 'Fantasy', 'Novel-based', 'Wargame']",['Authors: Michael Moorcock']
Space Station Zemo,2,2.0,45,10,2,5,"['Campaign / Battle Card Driven', 'Variable Player Powers']","['Print & Play', 'Racing', 'Science Fiction']",[]
Unlock!: Escape Adventures – Noël en Juillet,1,2.0,30,10,1,6,"['Cooperative Game', 'Elapsed Real Time Ending', 'Storytelling']","['Puzzle', 'Card Game', 'Print & Play']","['Category: Escape Room Games', 'Components: Digital Hybrid – App/Website Required', 'Holidays: Christmas', 'Series: Unlock! (Space Cowboys)']"
Void 1.1,6,3.3333,120,12,2,8,"['Action Points', 'Dice Rolling', 'Line of Sight', 'Variable Phase Order']","['Miniatures', 'Science Fiction', 'Wargame']",['Setting: Void (Viridian Solar System)']
Die Atombombe: The Reich's Bid to Build the Bomb,5,2.2,120,0,2,5,[],"['Card Game', 'Political', 'Spies/Secret Agents', 'Wargame', 'World War II']",['Magazine: Against The Odds']
Transylvania: Curses & Traitors,12,2.25,45,12,3,6,"['Dice Rolling', 'Hand Management', 'Modular Board', 'Pick-up and Deliver', 'Point to Point Movement', 'Role Playing', 'Variable Player Powers']","['Adventure', 'Exploration', 'Horror']","['Creatures: Vampires', 'Creatures: Werewolves', 'Creatures: Zombies', 'Crowdfunding: Kickstarter', 'Digital Implementations: Tabletopia']"
Optimates et Populares,3,2.0,90,0,2,2,[],"['Ancient', 'Political', 'Wargame']","['Ancient: Rome', 'Cities: Rome (Lazio, Italy)', 'Players: Two-Player Only Games']"
The Hunger Games: Mockingjay – The Board Game,5,2.2,120,14,2,4,"['Area Majority / Influence', 'Area Movement', 'Dice Rolling', 'Hand Management', 'Simulation', 'Variable Player Powers', 'Worker Placement']","['Dice', 'Miniatures', 'Movies / TV / Radio theme', 'Novel-based', 'Science Fiction', 'Wargame']","['Admin: Better Description Needed!', 'Admin: Upcoming Releases', 'Books: The Hunger Games', 'Crowdfunding: Kickstarter']"
"Yetisburg: Titanic Battles in History, Vol. 1",28,1.4286,30,8,2,2,"['Area Movement', 'Hand Management']","['American Civil War', 'Card Game', 'Civil War', 'Fantasy', 'Humor', 'Post-Napoleonic', 'Wargame']","['Admin: Better Description Needed!', 'Country: USA', 'Creatures: Bigfoot / Yeti / Sasquatch', 'Players: Two-Player Only Games', 'Players: Wargames with Rules Supporting Only Two Players', 'States: Pennsylvania']"
Airships: North Pole Quest,4,2.5,180,12,1,6,"['Connections', 'Measurement Movement', 'Movement Points', 'Push Your Luck', 'Race', 'Role Playing', 'Scenario / Mission / Campaign Game', 'Storytelling']","['Adventure', 'Aviation / Flight', 'Exploration', 'Travel']","['Components: Map (Global Scale)', 'Crowdfunding: Kickstarter', 'Occupation: Aviator', 'Region: Arctic', 'Theme: Airships / Blimps / Dirigibles / Zeppelins']"
Gunship: First Strike!,24,2.4167,30,13,2,4,"['Action Points', 'Area Movement', 'Dice Rolling', 'Hand Management', 'Modular Board', 'Push Your Luck']","['Card Game', 'Dice', 'Science Fiction', 'Wargame']","['Crowdfunding: Kickstarter', 'Game: Gunship']"
Unlock!: Star Wars – Geheime Mission auf Jedha,3,1.0,60,10,1,6,"['Cooperative Game', 'Storytelling']","['Card Game', 'Exploration', 'Movies / TV / Radio theme', 'Puzzle', 'Real-time']","['Category: Escape Room Games', 'Movies: Star Wars', 'Series: Unlock! (Space Cowboys)']"
The Lord of the Rings Dice Building Game,42,2.1905,30,14,2,4,"['Cooperative Game', 'Deck, Bag, and Pool Building', 'Dice Rolling']","['Dice', 'Fantasy', 'Movies / TV / Radio theme', 'Novel-based']","['Authors: J.R.R. Tolkien', 'Series: Madison Game Design Cabal', 'Series: Quarriors Pool Building system']"
Stworze International Edition,5,3.2,180,12,1,5,"['Area Movement', 'Commodity Speculation', 'Open Drafting', 'Secret Unit Deployment', 'Variable Player Powers', 'Worker Placement']","['Adventure', 'Ancient', 'Fantasy', 'Mythology']",['Components: Miniatures']
Mini Car Wars,6,2.0,0,10,2,8,"['Dice Rolling', 'Grid Movement', 'Paper-and-Pencil', 'Simulation', 'Square Grid', 'Variable Player Powers']","['Fighting', 'Miniatures', 'Racing', 'Science Fiction', 'Sports', 'Wargame']","['Game: Car Wars', 'Theme: Traffic / Driving']"
Mr. Card Game,16,2.5625,60,13,2,5,"['Deck, Bag, and Pool Building', 'Hand Management', 'Open Drafting']","['Card Game', 'Video Game Theme']",['Crowdfunding: Kickstarter']
Credo!: the Game of Dueling Dogmas,17,2.3529,60,12,2,5,['Voting'],"['Card Game', 'Religious']","['Ancient: Rome', 'Digital Implementations: VASSAL', 'Religious: Pope']"
Mission Command Air,35,1.3429,45,8,2,4,"['Dice Rolling', 'Grid Movement', 'Hand Management', 'Player Elimination', 'Roll / Spin and Move', 'Simultaneous Action Selection']","['Aviation / Flight', 'Modern Warfare', 'Wargame']","['Components: 9 x 12 Grids', 'Components: Miniatures', 'Series: Mission Command (Milton Bradley)']"
Aether Captains: Clockwork Cabal,11,1.7273,20,10,1,1,"['Dice Rolling', 'Modular Board', 'Role Playing', 'Roll / Spin and Move', 'Tile Placement']","['Adventure', 'Card Game', 'Exploration', 'Print & Play']","['Game: Aether Captains', 'Players: Solitaire Only Card Games', 'Players: Solitaire Only Games', 'Theme: Airships / Blimps / Dirigibles / Zeppelins', 'Theme: Steampunk']"
Beer Money,28,1.7857,10,12,2,4,['Take That'],"['Card Game', 'Fighting']",[]
The Air-Eaters Strike Back!,4,2.5,180,14,1,5,"['Dice Rolling', 'Grid Movement', 'Hexagon Grid', 'Simulation']","['Science Fiction', 'Wargame']",['Creatures: Aliens / Extraterrestrials']
Mwahahaha!,50,2.56,120,0,2,5,[],"['Card Game', 'Humor']",['Theme: Mad Science / Mad Scientist']
Berserker Halflings from the Dungeon of Dragons,23,1.3913,40,12,2,6,[],"['Adventure', 'Card Game', 'Fantasy', 'Humor', 'Movies / TV / Radio theme']","['Series: B-Movies (Z-Man)', 'Theme: Retro']"
Diceland: Dragons,7,1.8571,20,10,2,4,"['Dice Rolling', 'Variable Player Powers']","['Action / Dexterity', 'Collectible Components', 'Dice', 'Fantasy', 'Fighting']","['Creatures: Dragons', 'Game: Diceland']"
Starship Command,3,2.6667,45,0,2,8,['Simultaneous Action Selection'],"['Aviation / Flight', 'Card Game', 'Science Fiction', 'Wargame']",['Containers: Tubes']
Black Death v1.01,3,2.6667,60,0,2,6,"['Area Majority / Influence', 'Dice Rolling', 'Point to Point Movement', 'Simulation']","['Medical', 'Medieval', 'Print & Play']","['Continents: Europe', 'Medical: Diseases', 'Theme: Plague Epidemic', 'Components: Map (Continental / National scale)', 'Digital Implementations: BoardSpace']"
Diceland: Cyburg,3,2.3333,20,10,2,3,"['Dice Rolling', 'Variable Player Powers']","['Action / Dexterity', 'Collectible Components', 'Dice', 'Fighting', 'Science Fiction']","['Game: Diceland', 'Theme: Cyberpunk']"
Zombie Survival: The Board Game,13,2.0,90,13,1,4,"['Action Points', 'Commodity Speculation', 'Dice Rolling', 'Hand Management', 'Pick-up and Deliver']","['Fighting', 'Horror', 'Zombies']",['Creatures: Zombies']
Dark Age: Core Rules,8,2.75,90,12,2,2,"['Action Points', 'Dice Rolling', 'Simulation', 'Variable Player Powers']","['Book', 'Miniatures', 'Novel-based', 'Science Fiction', 'Wargame']","['Game: Dark Age', 'Players: Two-Player Only Games']"
Dungeon Plungin',7,2.1429,60,0,1,4,"['Cooperative Game', 'Dice Rolling', 'Modular Board']","['Dice', 'Exploration', 'Fantasy', 'Fighting', 'Print & Play']","['Category: Dungeon Crawler', 'Digital Implementations: VASSAL']"
Shapeshifters,7,1.5714,60,10,2,4,"['Hexagon Grid', 'Simultaneous Action Selection', 'Variable Player Powers']","['Bluffing', 'Fantasy', 'Fighting', 'Wargame']",['Admin: Better Description Needed!']
Mechaton:  Giant Fighty Robots,12,2.1667,120,12,2,5,"['Dice Rolling', 'Point to Point Movement', 'Variable Player Powers']","['Fighting', 'Miniatures', 'Science Fiction']","['Components: Construction Toys', 'Theme: Robots', 'Toys: LEGO']"
The Last of the Independents,12,1.6667,120,10,3,6,"['Area Majority / Influence', 'Hand Management', 'Variable Phase Order', 'Variable Player Powers']","['Card Game', 'Economic', 'Industry / Manufacturing']",[]
Cannibal Pygmies in the Jungle of Doom,45,1.3333,20,12,2,6,"['Hand Management', 'Variable Player Powers']","['Adventure', 'Card Game', 'Fighting', 'Horror', 'Humor']","['Series: B-Movies (Z-Man)', 'Theme: Cannibals / Cannibalism', 'Theme: Retro']"
Ironman Football,8,2.25,180,10,2,8,['Events'],['Sports'],"['Country: USA', 'Sports: American Football / Gridiron']"
221B Baker St.: Sherlock Holmes & the Time Machine,20,2.0,45,12,2,6,['Roll / Spin and Move'],"['Deduction', 'Murder/Mystery', 'Novel-based']","['Books: Mystery Novels', 'Books: Sherlock Holmes', 'Country: USA', 'Game: 221B Baker Street', 'Theme: Police', 'Theme: Time Travel']"
Star Wars: Escape From The Death Star,23,1.9565,150,12,1,4,"['Cooperative Game', 'Dice Rolling', 'Grid Movement']","['Movies / TV / Radio theme', 'Science Fiction', 'Wargame']","['Movies: Star Wars', 'Players: Games with Solitaire Rules', 'Players: Wargames with Solitaire Rules', 'Series: Star Wars Adventure Board Game (West End)']"
Rescue from the Hive,15,2.4,60,12,1,2,"['Area Movement', 'Dice Rolling', 'Grid Movement', 'Movement Points', 'Pick-up and Deliver', 'Secret Unit Deployment', 'Simulation', 'Variable Set-up']","['Science Fiction', 'Wargame']","['Creatures: Aliens / Extraterrestrials', 'Magazine: Ares', 'Players: Games with Solitaire Rules', 'Players: Wargames with Solitaire Rules']"
Football Leader,10,2.4,150,0,2,2,"['Area Movement', 'Hand Management', 'Simulation']",['Sports'],"['Players: Two-Player Only Games', 'Sports: Football / Soccer']"
The Willow Game,21,2.0476,120,11,2,6,[],"['Adventure', 'Fantasy', 'Movies / TV / Radio theme']",[]
Planet Busters,14,1.6429,60,10,2,4,"['Dice Rolling', 'Hand Management', 'Secret Unit Deployment', 'Variable Set-up']","['Fighting', 'Science Fiction', 'Wargame']","['Magazine: Dragon', 'Space: Comets', ""Space: Earth's Solar System"", 'Space: Jupiter', 'Space: Mars', 'Space: Mercury', 'Space: Neptune', 'Space: Pluto', 'Space: Saturn', 'Space: Uranus', 'Space: Venus']"
Zed Deck,6,1.0,5,12,1,1,[],"['Card Game', 'Print & Play', 'Zombies']","['Creatures: Zombies', 'Misc: No Table Needed', 'Players: Games with Solitaire Rules', 'Players: Solitaire Only Card Games', 'Players: Solitaire Only Games']"
The Dark Quarter,0,0.0,180,16,1,4,"['Cooperative Game', 'Dice Rolling', 'Map Addition', 'Role Playing', 'Solo / Solitaire Game', 'Storytelling']","['Adventure', 'Exploration', 'Mature / Adult', 'Murder/Mystery']","['Admin: Upcoming Releases', 'Cities: New Orleans (Louisiana, USA)', 'Components: Digital Hybrid – App/Website Required', 'Components: Miniatures', 'Crowdfunding: Spieleschmiede', ""Decades: The 1980's""]"
Bushwhackin' Varmints out of Sergio's Butte,9,1.3333,20,13,2,6,[],"['Adventure', 'American West', 'Card Game', 'Fighting', 'Humor', 'Movies / TV / Radio theme']","['Series: B-Movies (Z-Man)', 'Theme: Retro']"
MUNERA: Familia Gladiatoria,21,3.0,90,10,2,4,"['Auction/Bidding', 'Betting and Bluffing', 'Dice Rolling', 'Open Drafting', 'Trading']","['Ancient', 'Economic', 'Fighting']","['Ancient: Rome', 'Components: Map (Continental / National scale)', 'Theme: Gladiators']"
Lunch Money,203,1.5123,20,13,2,4,"['Hand Management', 'Take That']","['Card Game', 'Fighting']",[]
Fairy Meat,8,1.625,60,12,2,100,['Dice Rolling'],"['Miniatures', 'Wargame']",['Creatures: Fairies / Elves / Pixies']
Cults Across America,40,2.4,180,12,2,6,"['Dice Rolling', 'Point to Point Movement']","['Horror', 'Wargame']",['Theme: Cthulhu Mythos']
Project Pandora: Grim Cargo,6,2.5,60,10,2,2,"['Dice Rolling', 'Modular Board']","['Exploration', 'Fighting', 'Miniatures', 'Science Fiction']",['Players: Two-Player Only Games']
Ultra Marines,11,1.7273,30,8,2,4,"['Dice Rolling', 'Modular Board', 'Roll / Spin and Move']","['Maze', 'Miniatures', 'Science Fiction']","['Setting: Warhammer 40,000 Board Games']"
Spy or Die Trying,7,2.8571,60,12,2,4,"['Cooperative Game', 'Dice Rolling', 'Set Collection']","['Adventure', 'Dice', 'Miniatures', 'Spies/Secret Agents']",['Crowdfunding: Kickstarter']
BattleTech Science Fiction Combat Book Game: SHD-2H Shadow Hawk,10,1.9,10,12,2,2,"['Rock-Paper-Scissors', 'Simulation', 'Simultaneous Action Selection', 'Variable Player Powers']","['Book', 'Science Fiction', 'Wargame']","['Category: Two Player Fighting Games', 'Game: BattleTech', 'Players: Two-Player Only Games', 'Series: BattleTech Science Fiction Combat Book Game (Nova Game Designs)', 'Series: Picture Book Games (Nova Game Designs)', 'Theme: Mech Warfare']"
Escape: Fighting for Freedom,3,2.3333,60,12,1,6,"['Action Points', 'Area Movement', 'Cooperative Game', 'Variable Player Powers']","['Exploration', 'Fighting', 'Miniatures', 'Science Fiction']",['Crowdfunding: Kickstarter']
E.T.I.: Estimated Time to Invasion,28,2.3214,90,12,3,6,['Cooperative Game'],['Science Fiction'],['Creatures: Aliens / Extraterrestrials']
Earth Rising: 20 Years to Transform Our World,4,2.25,120,10,1,6,"['Action/Event', 'Area Majority / Influence', 'Cooperative Game', 'Modular Board', 'Solo / Solitaire Game', 'Variable Player Powers']","['Civilization', 'Economic', 'Educational', 'Environmental']","['Admin: Upcoming Releases', 'Crowdfunding: Kickstarter', 'Digital Implementations: TableTop Simulator Mod (TTS)', 'Players: Games with Solitaire Rules', 'Theme: Nature']"
Unlock!: Une Aventure – Ralph Azham: Le Foie de l'Axolotl,1,1.0,30,10,1,6,"['Cooperative Game', 'Storytelling']","['Card Game', 'Exploration', 'Puzzle', 'Real-time']","['Category: Escape Room Games', 'Components: Digital Hybrid – App/Website Required', 'Series: Unlock! (Space Cowboys)']"
The Testimony of Jacob Hollow,33,1.7273,45,13,2,6,"['Area Movement', 'Variable Player Powers']","['Card Game', 'Exploration', 'Horror']",[]
Mystic War,7,1.5714,90,10,3,8,[],"['Card Game', 'Fantasy']",[]
Metro 2033,22,2.6364,80,12,2,6,"['Area Majority / Influence', 'Voting']","['Adventure', 'Novel-based', 'Science Fiction']","['Cities: Moscow (Russia)', 'Components: Map (City Scale)', 'Theme: Post-Apocalyptic']"
Goblin Slayer,14,1.4286,60,0,2,2,"['Dice Rolling', 'Grid Movement', 'Modular Board', 'Pick-up and Deliver', 'Variable Player Powers']","['Fantasy', 'Fighting', 'Print & Play']","['Creatures: Goblins', 'Players: Two-Player Only Games']"
Sanctuary: Thieves World,23,1.8696,120,12,1,6,['Dice Rolling'],"['Adventure', 'Economic', 'Fantasy', 'Fighting', 'Novel-based']",[]
Battle of the Bands,23,1.4348,45,13,2,4,"['Hand Management', 'Take That']","['Card Game', 'Humor', 'Music', 'Party Game']",['Theme: Music Making & Makers']
Loot and Scoot,9,1.3333,45,10,2,4,"['Action Points', 'Dice Rolling', 'Push Your Luck']","['Exploration', 'Fantasy', 'Fighting']",['Series: Euro Games (Victory Point Games)']
Gormenghast: The Board Game,1,1.0,60,12,2,4,"['Dice Rolling', 'Hand Management', 'Pick-up and Deliver', 'Tile Placement']","['Fantasy', 'Novel-based']",[]
Dungeon Venture,1,2.0,30,8,2,5,"['Cooperative Game', 'Dice Rolling', 'Modular Board', 'Variable Phase Order']","['Exploration', 'Fantasy', 'Fighting', 'Medieval']",['Category: Dungeon Crawler']
"Moby Dick, or, The Card Game",16,2.1875,60,12,2,4,"['Deck, Bag, and Pool Building', 'Dice Rolling', 'Hand Management', 'Simulation', 'Trading', 'Variable Player Powers']","['Adventure', 'Card Game', 'Novel-based']","['Animals: Whales', 'Components: Dice with Icons', 'Crowdfunding: Kickstarter', 'Sports: Hunting']"
Outrider,10,2.1,60,8,2,8,"['Action Points', 'Action Queue', 'Dice Rolling', 'Push Your Luck', 'Simulation']","['Dice', 'Miniatures', 'Print & Play', 'Science Fiction', 'Wargame']","['Game: Outrider', 'Theme: Post-Apocalyptic']"
Ben Hurt,27,1.7407,60,12,4,8,"['Auction/Bidding', 'Betting and Bluffing', 'Roll / Spin and Move']","['Ancient', 'Dice', 'Racing']",['Ancient: Rome']
Blood Berets,6,3.0,60,12,2,4,"['Action Points', 'Chit-Pull System', 'Dice Rolling', 'Grid Movement', 'Modular Board', 'Secret Unit Deployment', 'Variable Player Powers']","['Adventure', 'Horror', 'Miniatures', 'Science Fiction', 'Wargame']",['Setting: Mutant Chronicles']
The Card Game of Oz,3,1.3333,20,14,1,4,"['Dice Rolling', 'Hand Management', 'Open Drafting', 'Point to Point Movement', 'Storytelling', 'Variable Phase Order', 'Variable Player Powers']","['Bluffing', 'Card Game', 'Dice', 'Fantasy', 'Novel-based']","['Books: The Wizard of Oz', 'Crowdfunding: Kickstarter']"
Lords of the Renaissance,6,3.3333,300,12,2,12,"['Auction/Bidding', 'Pick-up and Deliver', 'Variable Player Powers']","['Economic', 'Political', 'Renaissance', 'Transportation', 'Wargame']",[]
Pleasant Dreams,12,1.0833,10,13,1,2,['Push Your Luck'],['Card Game'],"['Crowdfunding: Kickstarter', 'Theme: Dreams / Nightmares']"
Martians!!!,14,2.0,60,13,2,6,"['Roll / Spin and Move', 'Tile Placement', 'Variable Player Powers']","['Fighting', 'Horror', 'Science Fiction']","['Game: Zombies!!! (Twilight Creations)', 'Space: Mars']"
Combate de San Lorenzo,8,2.125,180,10,1,6,"['Campaign / Battle Card Driven', 'Cooperative Game']","['Educational', 'Napoleonic', 'Wargame']","['Country: Argentina', 'History: Latin American Wars of Independence']"
Innsmouth Escape,21,1.9524,30,12,2,5,"['Area Movement', 'Dice Rolling', 'Hidden Movement', 'Point to Point Movement', 'Secret Unit Deployment']","['Adventure', 'Deduction', 'Exploration', 'Fighting', 'Horror', 'Miniatures']","['Components: 6 x 6 Grids', 'Components: Miniatures', 'Mechanism: Hidden Movement', 'Players: One versus Many', 'Theme: Cthulhu Mythos']"
DrachenSchatten,8,1.0,20,8,2,4,"['Push Your Luck', 'Set Collection']","['Adventure', 'Card Game', 'Fantasy']",['Creatures: Dragons']
Blue Line Hockey,13,1.8462,45,8,2,2,"['Dice Rolling', 'Events', 'Grid Movement', 'Roll / Spin and Move', 'Simulation', 'Square Grid']",['Sports'],"['Components: Miniatures', 'Players: Two-Player Only Games', 'Series: 3M Sports Games', 'Sports: Ice Hockey']"
404: Law Not Found,14,2.2857,60,12,2,6,"['Action Queue', 'Area Movement', 'Open Drafting', 'Simultaneous Action Selection', 'Variable Player Powers']","['Print & Play', 'Science Fiction', 'Space Exploration']","['Crowdfunding: Kickstarter', 'Digital Implementations: TableTop Simulator Mod (TTS)']"
Heroes of Metro City,7,2.5714,60,13,2,4,"['Deck, Bag, and Pool Building', 'Dice Rolling', 'Role Playing']","['Card Game', 'Comic Book / Strip', 'Science Fiction']","['Crowdfunding: Kickstarter', 'Theme: Superheroes']"
Chaos Isle: Zombi Deck,13,1.8462,30,13,1,6,"['Dice Rolling', 'Variable Player Powers']","['Card Game', 'Fighting', 'Horror', 'Zombies']","['Creatures: Zombies', 'Islands: Fictional']"
Exalted: War for the Throne,15,2.9333,180,12,2,5,"['Area Movement', 'Dice Rolling']","['Fantasy', 'Fighting', 'Medieval']","['Components: Map (Continental / National scale)', 'Versions & Editions: Board Game Versions of Role-Playing Games']"
Rambo: The Board Game – First Blood,7,1.5714,90,14,1,1,"['Action Points', 'Hidden Movement', 'Narrative Choice / Paragraph', 'Scenario / Mission / Campaign Game', 'Solo / Solitaire Game']","['Adventure', 'Fighting', 'Movies / TV / Radio theme', 'Wargame']","['Country: USA', 'Crowdfunding: Kickstarter', 'Players: Solitaire Only Games', 'Players: Solitaire Only Wargames']"
Cross Hares: Testing Ground,13,1.6923,60,10,2,4,"['Dice Rolling', 'Hand Management', 'Roll / Spin and Move', 'Storytelling', 'Variable Player Powers']","['Adventure', 'Animals', 'Dice', 'Science Fiction']","['Animals: Rabbits', 'Crowdfunding: Kickstarter']"
Secret Tijuana Deathmatch,25,1.72,60,12,3,6,[],"['Card Game', 'Fighting', 'Humor']",[]
The Village Crone,11,2.4545,90,13,1,6,"['Modular Board', 'Worker Placement']",['Fantasy'],"['Digital Implementations: Tabletopia', 'Theme: Witches']"
Pocket Dungeon Quest,7,1.2857,15,8,1,4,"['Cooperative Game', 'Dice Rolling', 'Modular Board', 'Role Playing']","['Adventure', 'Fantasy', 'Print & Play', 'Video Game Theme']","['Crowdfunding: Kickstarter', 'Digital Implementations: Tabletopia']"
Formidable Foes,56,2.1071,90,10,2,6,['Dice Rolling'],"['Exploration', 'Fantasy', 'Fighting']",['Creatures: Monsters']
People-Person!,3,2.3333,30,13,2,6,"['Hand Management', 'Memory', 'Open Drafting', 'Storytelling', 'Take That', 'Team-Based Game']","['Abstract Strategy', 'Card Game', 'Humor']",['Crowdfunding: Indiegogo']
Scary Tales: Prince Charming vs. Hansel,11,1.5455,20,13,2,2,['Hand Management'],"['Card Game', 'Fantasy']","['Authors: The Brothers Grimm', 'Folk Tales & Fairy Tales: Hansel and Gretel', 'Game: Scary Tales', 'Players: Two-Player Only Games']"
When Darkness Comes,49,2.449,90,10,1,6,"['Modular Board', 'Role Playing', 'Roll / Spin and Move', 'Tile Placement']","['Dice', 'Horror', 'Zombies']","['Creatures: Vampires', 'Game: When Darkness Comes']"
Sorcerer: The Game of Magical Conflict,28,2.6786,60,10,1,6,"['Action Points', 'Grid Movement', 'Hexagon Grid', 'Rock-Paper-Scissors', 'Simulation']","['Fantasy', 'Wargame']",[]
Whack a Catgirl,16,1.1875,30,14,2,5,['Open Drafting'],"['Card Game', 'Humor']","['Animals: Cats', 'Theme: Anime / Manga']"
Myth: Pantheons,24,2.375,45,10,3,6,"['Hand Management', 'Trick-taking', 'Variable Player Powers']","['Card Game', 'Mythology']",[]
